FALL 2018 MATHEMATICS SCHEDULE v15 edits 3.19.2018,,,,,,,,,,,,,,,,,,
Class,Sec,Class #,Days,Start Time,End Time,Bldg,Rm,Rm Cap,Enroll Cap,Instructor,Category,Teach(12),Recitation(3),Assist(6),Lab(6),Assistant or Notes,Check enroll cap CSM opens all sections END FEB,In CC. 3.6.18
233H,1,2108,TR,12:30 PM,1:45 PM,PH,385,42,25,"RIMANYI, RICHARD ",,,,,,TR Honors Controlled/Dept Consent,,
233H,620,14043,M,12:20 PM,1:10 PM,PH,224,35,25,,recitation,,1,,,New 233 Honors recitation,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
294,1,9240,W,4:40 PM,6:00 PM,,,,25,"SAWON, JUSTIN",,,,,,Dept Consent/Undergrad Seminar,,
,,,,,,,,,,,,,,,,,,
296,1,9401,INDEPENDENT STUDY,,,,,,,,,,,,,Several sections scheduled,,
,,,,,,,,,,,,,,,,,,
307,01W,2110,,,,,,,20,,,,,,,School of Ed course,,
,,,,,,,,,,,,,,,,,,
381,1,2113,MWF,9:05 AM,9:55 AM,PH,383,42,35,,,,,1,,,Successful/FORMSTACK GETTING PH 383 (42),
381,2,2114,MWF,10:10 AM,11:00 AM,PH,381,42,35,,,1,,1,,,,
381,3,2115,TR,8:00 AM,9:15 AM,PH,381,42,35,"MCCOMBS, MARK?????",,,,0,,MWF,Mark requested this section.,
381,4,7378,MWF,1:25 PM,2:15 PM,PH,381,42,35,,,1,,1,,,,
381,5,9142,TR,2:00 PM,3:15 PM,PH,381,42,35,"PROCTOR, BOB",,,,1,,TR,,
381H,1,11462,MWF,11:15 AM,12:05 PM,PH,328,42,25,"VARCHENKO, ALEXANDER",,,,1,,TR Honors Controlled/Dept Consent,,
,,,,,,,,,,,,,,,,,,
383,1,2124,TR,9:30 AM,10:45 AM,PH,332,62,40,"NEWHALL, KATIE",,,,1,,TR,,
383,2,5838,TR,12:30 PM,1:45 PM,PH,332,62,40,"WILLIAMS, MARK",,,,1,,TR,,
383,3,2125,MWF,9:05 AM,9:55 AM,NW,219,50,40,"BECK, TOM",,,,1,,,,
383,4,2126,MWF,11:15 AM,12:05 PM,NW,219,50,40,"TAYLOR, MICHAEL",,,,1,,MWF,,
383L,401,9122,M,6:00 PM,8:00 PM,PH,383,42,35,,lab,,,,1,,,
383L,402,9103,T,6:00 PM,8:00 PM,PH,383,42,35,,lab,,,,1,,,
,,,,,,,,,,,,,,,,,,
521,1,2418,MWF,1:25 PM,2:15 PM,PH,385,42,35,"ASSANI, IDRIS",,,,1,,MWF,,
521,2,2419,TR,11:00 AM,12:15 PM,PH,385,42,35,"WILLIAMS, MARK",,,,1,,TR,,
521H,1,13843,TR,12:30 PM,1:45 PM,BI,101,42,25,"METCALFE, JASON",,,,1,,TR,,
,,,,,,,,,,,,,,,,,,
523,1,13775,MWF,3:00 PM,3:50 PM,PH,381,42,35,postdoc,,,,1,,MWF,,
,,,,,,,,,,,,,,,,,,
524,1,2420,MWF,10:10 AM,11:00 AM,PH,367,40,35,"TAYLOR, MICHAEL",,,,1,,MWF,,
,,,,,,,,,,,,,,,,,,
528,1,2421,MWF,12:20 PM,1:10 PM,PH,332,62,30,"MITRAN, SORIN",,,,2,,MWF,,
528,2,8729,TR,12:30 PM,1:45 PM,PH,367,40,30,"NEWHALL, KATIE",,,,1,,TR,,
528L,401,8190,M,6:00 PM,8:00 PM,PH,381,42,30,,,,,,1,,,
,,,,,,,,,,,,,,,,,,
533,1,2422,TR,9:30 AM,10:45 AM,PH,367,40,30,"HONG, JIUZU",,,,1,,TR,,
,,,,,,,,,,,,,,,,,,
535*,1,9014,TR,11:00 AM,12:15 PM,GA,105,122,15,"PIPIRAS, VLADAS",,,,0,,Math seats available/STOR 435,,
535*,2,9015,TR,12:30 PM,1:45 PM,GA,105,122,15,"PIPIRAS, VLADAS",,,,0,,Math seats available/STOR 435,,
,,,,,,,,,,,,,,,,,,
547,1,2423,TR,2:00 PM,3:15 PM,PH,215,148,120,"GRIFFITH, BOYCE",assist(3),,,3,,TR,,
547,2,2424,MWF,12:20 PM,1:10 PM,PE,104,141,120,"ADALSTEINSSON, DAVID",assist(,,,3,,MWF,,
,,,,,,,,,,,,,,,,,,
548,1,2425,TR,2:00 PM,3:15 PM,PH,385,42,35,"Thompson, Daniel",,,,1,,MWF/postdoc,,
551,1,2426,TR,11:00 AM,12:15 PM,PH,381,42,35,"BELKALE, PRAKASH",,,,1,,TR,,
,,,,,,,,,,,,,,,,,,
553,1,7886,TR,12:30 PM,1:45 PM,GS,1377,32,10,HEDRICK & SERVEDIO,,,,0,,Mathematical Biology,,
553L,401,8921,M,2:00 PM,4:00 PM,GS,1377,32,10,HEDRICK & SERVEDIO,,,,0,,Newly added,,
,,,,,,,,,,,,,,,,,,
566,1,2427,TR,11:00 AM,12:15 PM,PH,367,40,30,"HUANG, JINGFANG",,,,1,,TR,,
577,1,2428,MWF,10:10 AM,11:00 AM,PH,385,42,30,"VARCHENKO, ALEXANDER",,,,1,,TR,SUCCESSFUL/formstack submitted 3.13.18,
,,,,,,,,,,,,,,,,,,
594,1,13785,MWF,12:20 PM,1:10 PM,PH,381,42,30,,,,,1,,MWF,,
,,,,,,,,,,,,,,,,,,
653,1,7127,TR,2:00 PM,3:15 PM,PH,328,42,28,"METCALFE, JASON",,,,1,,TR,,
661*,1,2429,TR,9:30 AM,10:45 AM,PH,385,42,30,"GRIFFITH, BOYCE",,,,1,,TR/COMBINED ENVR661,,
668*,1,2475,MWF,11:15 AM,12:05 PM,PH,228,34,30,"MCLAUGHLIN, RICH",,,,1,,MWF/ COMBINED ENVR668,,
676,1,2476,MWF,2:30 PM,3:20 PM,PH,224,35,30,"KUMAR, SHRAWAN",,,,1,,MWF,,
680,1,2477,MWF,12:20 PM,1:10 PM,PH,228,34,30,"SAWON, JUSTIN",,,,1,,MWF,,
,,,,,,,,,,,,,,,,,,
691H,1,9236,HONORS THESIS,,,,,,,,,,,,,multiple sections,,
692H,1,12655,HONORS THESIS,,,,,,,,,,,,,multiple sections,,
,,,,,,,,,,,,,,,,,,
753,1,2478,TR,11:00 AM,12:15 PM,PH,301,16,15,"MARZUOLA, JEREMY",,,,,,TR,,
761*,1,3003,MWF,10:10 AM,11:00 AM,PH,224,35,25,"MITRAN, SORIN",,,,,,MWF/COMBINED ENVR761/MASC781,,
768*,1,2479,MWF,2:30 PM,3:20 PM,PH,383,42,25,"FOREST, GREG",,,,,,MWF/COMBINED ENVR762/MASC783,,
771,1,9861,TR,12:30 PM,1:45 PM,PH,301,16,15,"Thompson, Daniel",,,,,,TR/postdoc,,
774,1,13769,TR,9:30 AM,10:45 AM,PH,301,16,15,"PROCTOR, ROBERT",,,,,,TR,,
781,1,2480,TR,2:00 PM,3:15 PM,PH,301,16,15,"RIMANYI, RICHARD",,,,,,TR,,
,,,,,,,,,,,,,,,,,,
920,98,8444,MW,1:25 PM,2:15 PM,PH,228,34,25,"THOMAS, MIRANDA",,,,,,,,
MHC Hours:  Monday - Thursday  10:00 AM - 6:00 PM and Friday  10:00 AM - 3:00 PM.                                                           MHC TA Tutors:,,,,,,,,,,,,,,,,,,
*COMBINED COURSES:  Math enrollments listed first,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,total hours needed:,192,174,204,18,588,,
>>>>>>> 3ca3fbacb95f98b5cc33868bb01f9e60ebff2d9d,,,,,,,,,,,,,,,,,,
